,Newcastle United,Arsenal,Blackburn Rovers,Wolverhampton Wanderers,Fulham,Aston Villa,Liverpool,Sunderland,Queens Park Rangers,Bolton Wanderers,Wigan Athletic,Norwich City,West Bromwich Albion,Manchester United,Stoke City,Chelsea,Manchester City,Swansea City,Everton,Tottenham Hotspur
,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Wolverhampton_Wanderers.svg/270px-Wolverhampton_Wanderers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Queens_Park_Rangers_crest.svg/270px-Queens_Park_Rangers_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Norwich_City_Crest_%282022%29.png/225px-Norwich_City_Crest_%282022%29.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Swansea_City_AFC_logo.png/270px-Swansea_City_AFC_logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png
2011-08-13,1,1,0,3,1,1,1,1,0,3,1,1,0,0,0,0,0,0,0,0
2011-08-14,1,1,0,3,1,1,1,1,0,3,1,1,0,3,1,1,0,0,0,0
2011-08-15,1,1,0,3,1,1,1,1,0,3,1,1,0,3,1,1,3,0,0,0
2011-08-20,4,1,0,3,1,4,4,1,3,3,2,1,0,3,1,4,3,1,0,0
2011-08-21,4,1,0,6,1,4,4,1,3,3,2,2,0,3,2,4,6,1,0,0
2011-08-22,4,1,0,6,1,4,4,1,3,3,2,2,0,6,2,4,6,1,0,0
2011-08-27,4,1,0,7,1,5,7,2,3,3,5,2,0,6,2,7,6,2,3,0
2011-08-28,7,1,0,7,1,5,7,2,3,3,5,2,0,9,5,7,9,2,3,0
2011-09-10,7,4,0,7,1,6,7,2,3,3,5,2,0,12,8,10,12,2,4,3
2011-09-11,7,4,1,7,2,6,7,2,3,3,5,2,3,12,8,10,12,2,4,3
2011-09-12,8,4,1,7,2,6,7,2,4,3,5,2,3,12,8,10,12,2,4,3
2011-09-17,9,4,4,7,2,7,7,2,7,3,5,5,3,12,8,10,12,5,7,3
2011-09-18,9,4,4,7,3,7,7,5,7,3,5,5,3,15,8,10,13,5,7,6
2011-09-24,12,7,4,7,4,7,10,5,7,3,5,5,4,16,9,13,16,5,7,9
2011-09-25,12,7,4,7,4,8,10,5,8,3,5,5,4,16,9,13,16,5,7,9
2011-09-26,12,7,4,7,4,8,10,5,8,3,5,8,4,16,9,13,16,5,7,9
2011-10-01,15,7,4,7,4,11,13,6,8,3,5,8,5,19,9,13,19,5,7,9
2011-10-02,15,7,4,7,7,11,13,6,8,3,5,8,5,19,9,16,19,8,7,12
2011-10-15,15,7,5,7,7,11,14,6,9,6,5,11,5,20,12,19,22,8,7,12
2011-10-16,16,10,5,7,7,11,14,6,9,6,5,11,8,20,12,19,22,8,7,13
2011-10-22,19,10,5,8,7,11,15,9,9,6,5,12,11,20,12,19,22,9,7,13
2011-10-23,19,13,5,8,7,11,15,9,12,6,5,12,11,20,12,19,25,9,10,16
2011-10-29,19,16,6,8,10,12,18,10,12,6,5,13,11,23,12,19,28,12,10,16
2011-10-30,19,16,6,8,10,12,18,10,12,6,5,13,11,23,12,19,28,12,10,19
2011-10-31,22,16,6,8,10,12,18,10,12,6,5,13,11,23,12,19,28,12,10,19
2011-11-05,25,19,6,8,10,15,19,10,12,6,5,13,11,26,12,22,31,13,10,19
2011-11-06,25,19,6,11,10,15,19,10,12,9,5,13,11,26,12,22,31,13,10,22
2011-11-19,25,22,7,11,11,15,19,11,15,9,6,13,14,29,12,22,34,13,13,22
2011-11-20,25,22,7,11,11,15,22,11,15,9,6,13,14,29,12,22,34,13,13,22
2011-11-21,25,22,7,11,11,15,22,11,15,9,6,13,14,29,12,22,34,13,13,25
2011-11-26,26,23,7,11,12,15,22,11,15,9,9,16,14,30,15,25,34,13,16,28
2011-11-27,26,23,7,11,12,16,23,11,15,9,9,16,14,30,15,25,35,14,16,28
2011-12-03,26,26,10,11,12,16,23,11,16,9,9,16,15,33,15,28,38,14,16,31
2011-12-04,26,26,10,14,12,16,23,11,16,9,9,16,15,33,18,28,38,14,16,31
2011-12-05,26,26,10,14,15,16,23,11,16,9,9,16,15,33,18,28,38,14,16,31
2011-12-10,26,29,10,14,15,19,26,11,16,9,12,19,15,36,18,28,38,17,16,31
2011-12-11,26,29,10,14,15,19,26,14,16,9,12,19,15,36,21,28,38,17,16,31
2011-12-12,26,29,10,14,15,19,26,14,16,9,12,19,15,36,21,31,38,17,16,31
2011-12-17,27,29,10,14,18,19,26,14,16,9,13,20,18,36,24,32,38,18,17,31
2011-12-18,27,29,10,14,18,19,29,14,16,9,13,20,18,39,24,32,41,18,17,34
2011-12-20,27,29,10,15,18,19,29,14,16,12,13,21,18,39,24,32,41,18,17,34
2011-12-21,27,32,10,15,18,19,30,17,16,12,14,21,21,42,24,32,44,18,20,34
2011-12-22,27,32,10,15,18,19,30,17,16,12,14,21,21,42,24,33,44,18,20,35
2011-12-26,30,32,11,15,19,20,31,18,16,12,14,21,22,45,25,34,45,18,21,35
2011-12-27,30,33,11,16,19,20,31,18,17,12,14,21,22,45,25,34,45,19,21,38
2011-12-30,30,33,11,16,19,20,34,18,17,12,14,21,22,45,25,34,45,19,21,38
2011-12-31,30,36,14,17,20,23,34,18,17,13,15,22,22,45,26,34,45,20,21,39
2012-01-01,30,36,14,17,20,23,34,21,17,13,15,22,22,45,26,34,45,20,24,39
2012-01-02,30,36,14,17,23,23,34,21,17,13,15,25,22,45,29,37,45,23,24,39
2012-01-03,30,36,14,17,23,23,34,24,17,13,15,25,22,45,29,37,48,23,24,42
2012-01-04,33,36,14,17,23,23,34,24,17,16,15,25,22,45,29,37,48,23,24,42
2012-01-11,33,36,14,17,23,23,34,24,17,16,15,25,22,45,29,37,48,23,24,45
2012-01-14,33,36,17,18,23,24,35,24,17,16,15,28,22,48,30,40,48,23,25,46
2012-01-15,36,36,17,18,23,24,35,24,17,16,15,28,22,48,30,40,48,26,25,46
