,Newcastle United,Tottenham Hotspur,Arsenal,Sunderland,Fulham,Norwich City,Queens Park Rangers,Swansea City,Reading,Stoke City,West Bromwich Albion,Liverpool,West Ham United,Aston Villa,Manchester City,Southampton,Wigan Athletic,Chelsea,Everton,Manchester United
,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Norwich_City_Crest_%282022%29.png/225px-Norwich_City_Crest_%282022%29.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Queens_Park_Rangers_crest.svg/270px-Queens_Park_Rangers_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Swansea_City_AFC_logo.png/270px-Swansea_City_AFC_logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Reading_FC.svg/270px-Reading_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png
2012-08-18,3,0,1,1,3,0,0,3,1,1,3,0,3,0,0,0,0,0,0,0
2012-08-19,3,0,1,1,3,0,0,3,1,1,3,0,3,0,3,0,0,3,0,0
2012-08-20,3,0,1,1,3,0,0,3,1,1,3,0,3,0,3,0,0,3,3,0
2012-08-22,3,0,1,1,3,0,0,3,1,1,3,0,3,0,3,0,0,6,3,0
2012-08-25,3,1,1,1,3,1,1,6,1,1,4,0,3,0,3,0,3,9,6,3
2012-08-26,3,1,2,1,3,1,1,6,1,2,4,1,3,0,4,0,3,9,6,3
2012-09-01,3,2,2,2,3,2,1,7,1,3,7,1,6,0,7,0,4,9,6,3
2012-09-02,4,2,5,2,3,2,1,7,1,3,7,1,6,1,7,0,4,9,6,6
2012-09-15,4,2,8,3,6,3,2,7,1,4,7,2,7,4,8,0,4,10,6,9
