,Swansea City,Manchester United,Arsenal,Aston Villa,Norwich City,Everton,Sunderland,Fulham,West Bromwich Albion,Southampton,West Ham United,Cardiff City,Liverpool,Stoke City,Chelsea,Hull City,Crystal Palace,Tottenham Hotspur,Manchester City,Newcastle United
,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Swansea_City_AFC_logo.png/270px-Swansea_City_AFC_logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Norwich_City_Crest_%282022%29.png/225px-Norwich_City_Crest_%282022%29.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Cardiff_City_crest.svg/270px-Cardiff_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Hull_City_A.F.C._logo.svg/225px-Hull_City_A.F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Crystal_Palace_FC_logo_%282022%29.svg/240px-Crystal_Palace_FC_logo_%282022%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png
2013-08-17,0,3,0,3,1,1,0,3,0,3,3,0,3,0,0,0,0,0,0,0
2013-08-18,0,3,0,3,1,1,0,3,0,3,3,0,3,0,3,0,0,3,0,0
2013-08-19,0,3,0,3,1,1,0,3,0,3,3,0,3,0,3,0,0,3,3,0
2013-08-21,0,3,0,3,1,1,0,3,0,3,3,0,3,0,6,0,0,3,3,0
2013-08-24,0,3,3,3,1,2,1,3,1,4,4,0,6,3,6,3,0,3,3,1
2013-08-25,0,3,3,3,1,2,1,3,1,4,4,3,6,3,6,3,0,6,3,1
2013-08-26,0,4,3,3,1,2,1,3,1,4,4,3,6,3,7,3,0,6,3,1
2013-08-31,0,4,3,3,4,3,1,3,1,4,4,4,6,6,7,3,3,6,6,4
2013-09-01,3,4,6,3,4,3,1,3,1,4,4,4,9,6,7,3,3,6,6,4
2013-09-14,3,7,9,3,4,6,1,4,2,4,4,5,9,7,7,4,3,9,7,7
2013-09-15,3,7,9,3,4,6,1,4,2,5,5,5,9,7,7,4,3,9,7,7
2013-09-16,4,7,9,3,4,6,1,4,2,5,5,5,10,7,7,4,3,9,7,7
2013-09-21,4,7,9,6,4,9,1,4,5,8,5,5,10,7,10,7,3,9,7,7
2013-09-22,7,7,12,6,4,9,1,4,5,8,5,5,10,7,10,7,3,12,10,7
2013-09-28,7,7,15,9,4,9,1,4,8,11,5,8,10,7,11,10,3,13,10,7
2013-09-29,7,7,15,9,7,9,1,4,8,11,5,8,13,7,11,10,3,13,10,7
2013-09-30,7,7,15,9,7,12,1,4,8,11,5,8,13,7,11,10,3,13,10,7
2013-10-05,7,10,15,10,7,12,1,7,8,11,5,8,16,7,11,11,3,13,13,10
2013-10-06,7,10,16,10,7,12,1,7,9,14,8,8,16,7,14,11,3,13,13,10
2013-10-19,10,11,19,10,7,15,1,7,10,15,8,8,17,8,17,11,3,13,16,11
2013-10-20,10,11,19,10,7,15,1,7,10,15,8,8,17,8,17,11,3,16,16,11
2013-10-21,10,11,19,10,7,15,1,10,10,15,8,8,17,8,17,11,3,16,16,11
2013-10-26,10,14,22,10,8,18,1,10,10,18,8,9,20,8,17,11,3,16,16,11
2013-10-27,11,14,22,10,8,18,4,10,10,18,9,9,20,8,20,11,3,19,16,11
2013-11-02,11,17,25,11,8,18,4,10,13,19,10,9,20,9,20,14,3,19,19,14
2013-11-03,11,17,25,11,8,19,4,10,13,19,10,12,20,9,20,14,3,20,19,14
2013-11-09,11,17,25,14,11,20,4,10,14,22,10,12,23,9,21,14,4,20,19,14
2013-11-10,12,20,25,14,11,20,7,10,14,22,10,12,23,10,21,14,4,20,19,17
2013-11-23,15,20,28,14,11,21,7,10,14,22,10,12,24,13,24,14,7,20,19,20
2013-11-24,15,21,28,14,11,21,7,10,14,22,10,13,24,13,24,14,7,20,22,20
2013-11-25,15,21,28,15,11,21,7,10,15,22,10,13,24,13,24,14,7,20,22,20
2013-11-30,15,21,31,16,14,24,8,10,15,22,13,13,24,13,24,14,7,20,22,23
2013-12-01,15,22,31,16,14,24,8,10,15,22,13,13,24,13,27,17,7,21,25,23
2013-12-03,15,22,31,16,14,24,8,10,15,22,13,13,24,13,27,17,10,21,25,23
2013-12-04,18,22,34,19,14,27,8,10,15,22,13,14,27,14,30,17,10,24,28,23
2013-12-07,18,22,34,19,17,27,8,10,15,23,13,14,30,17,30,17,13,27,29,26
2013-12-08,18,22,35,19,17,28,8,13,15,23,13,14,30,17,30,17,13,27,29,26
2013-12-09,19,22,35,19,17,28,8,13,15,23,13,14,30,17,30,18,13,27,29,26
2013-12-14,19,22,35,19,17,31,9,13,15,24,14,17,30,18,33,19,13,27,32,27
2013-12-15,20,25,35,19,18,31,9,13,15,24,14,17,33,18,33,19,13,27,32,27
2013-12-21,20,28,35,19,19,31,10,13,16,24,14,17,36,21,33,20,13,27,35,30
2013-12-22,20,28,35,19,19,34,10,13,16,24,14,17,36,21,33,20,13,30,35,30
2013-12-23,20,28,36,19,19,34,10,13,16,24,14,17,36,21,34,20,13,30,35,30
2013-12-26,20,31,39,19,19,34,13,16,17,27,14,17,36,21,37,20,16,31,38,33
2013-12-28,21,34,39,20,19,34,14,16,18,27,15,18,36,21,37,23,16,31,41,33
2013-12-29,21,34,42,20,19,37,14,16,18,27,15,18,36,21,40,23,16,34,41,33
2014-01-01,21,34,45,23,20,38,14,19,21,27,15,18,39,22,43,23,17,37,44,33
2014-01-11,21,37,45,23,20,41,17,19,21,30,18,18,39,22,46,23,17,40,44,33
2014-01-12,21,37,45,23,20,41,17,19,21,30,18,18,42,22,46,23,17,40,47,33
2014-01-13,21,37,48,23,20,41,17,19,21,30,18,18,42,22,46,23,17,40,47,33
2014-01-18,21,37,51,24,23,41,18,19,21,31,18,18,43,22,46,23,20,40,50,36
2014-01-19,21,37,51,24,23,41,18,19,21,31,18,18,43,22,49,23,20,43,50,36
2014-01-20,21,37,51,24,23,42,18,19,22,31,18,18,43,22,49,23,20,43,50,36
2014-01-28,24,40,52,24,24,42,18,19,22,32,18,18,46,22,49,23,23,43,50,37
2014-01-29,24,40,52,27,24,42,21,19,22,32,19,18,46,22,50,23,23,43,53,37
2014-02-01,24,40,52,27,24,45,24,19,22,35,22,21,46,25,50,24,23,44,53,37
2014-02-02,24,40,55,27,24,45,24,19,23,35,22,21,47,25,50,24,23,44,53,37
2014-02-03,24,40,55,27,24,45,24,19,23,35,22,21,47,25,53,24,23,44,53,37
