,Arsenal,Crystal Palace,Leicester City,Everton,Queens Park Rangers,Hull City,Stoke City,Aston Villa,West Bromwich Albion,Sunderland,West Ham United,Tottenham Hotspur,Manchester United,Swansea City,Newcastle United,Manchester City,Liverpool,Southampton,Burnley,Chelsea
,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Crystal_Palace_FC_logo_%282022%29.svg/240px-Crystal_Palace_FC_logo_%282022%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Queens_Park_Rangers_crest.svg/270px-Queens_Park_Rangers_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Hull_City_A.F.C._logo.svg/225px-Hull_City_A.F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Swansea_City_AFC_logo.png/270px-Swansea_City_AFC_logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Burnley_F.C._Logo.svg/225px-Burnley_F.C._Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png
2014-08-16,3,0,1,1,0,3,0,3,1,1,0,3,0,3,0,0,0,0,0,0
2014-08-17,3,0,1,1,0,3,0,3,1,1,0,3,0,3,0,3,3,0,0,0
2014-08-18,3,0,1,1,0,3,0,3,1,1,0,3,0,3,0,3,3,0,0,3
2014-08-23,4,0,1,2,0,3,0,4,2,1,3,3,0,6,1,3,3,1,0,6
2014-08-24,4,0,1,2,0,4,1,4,2,2,3,6,1,6,1,3,3,1,0,6
2014-08-25,4,0,1,2,0,4,1,4,2,2,3,6,1,6,1,6,3,1,0,6
2014-08-30,4,1,1,2,3,4,4,4,2,2,3,6,2,9,2,6,3,4,1,9
2014-08-31,5,1,2,2,3,4,4,7,2,2,3,6,2,9,2,6,6,4,1,9
2014-09-13,6,2,5,5,3,4,4,10,2,3,3,7,2,9,2,7,6,7,2,12
2014-09-14,6,2,5,5,3,4,4,10,2,3,3,7,5,9,2,7,6,7,2,12
2014-09-15,6,2,5,5,3,5,4,10,2,3,4,7,5,9,2,7,6,7,2,12
2014-09-20,9,2,5,5,4,6,5,10,2,4,7,7,5,9,3,7,6,10,3,12
2014-09-21,9,5,8,5,4,6,5,10,5,4,7,7,5,9,3,8,6,10,3,13
2014-09-27,10,8,8,6,4,6,5,10,5,5,7,8,8,10,3,11,7,13,3,16
2014-09-28,10,8,8,6,4,6,5,10,8,5,7,8,8,10,3,11,7,13,3,16
2014-09-29,10,8,8,6,4,6,8,10,8,5,7,8,8,10,3,11,7,13,3,16
2014-10-04,10,8,9,6,4,9,8,10,8,8,7,8,8,11,4,14,10,13,4,16
2014-10-05,10,8,9,6,4,9,8,10,8,8,10,11,11,11,4,14,10,13,4,19
2014-10-18,11,8,9,9,4,10,8,10,8,8,13,11,11,11,7,17,10,16,4,22
2014-10-19,11,8,9,9,4,10,11,10,8,8,13,11,11,11,7,17,13,16,4,22
2014-10-20,11,8,9,9,4,10,11,10,9,8,13,11,12,11,7,17,13,16,4,22
2014-10-25,14,9,9,9,4,11,11,10,10,8,16,11,12,14,7,17,14,19,4,22
2014-10-26,14,9,9,12,4,11,11,10,10,8,16,11,13,14,10,17,14,19,4,23
2014-10-27,14,9,9,12,7,11,11,10,10,8,16,11,13,14,10,17,14,19,4,23
2014-11-01,17,9,9,13,7,11,12,10,13,8,17,11,13,15,13,17,14,22,4,26
2014-11-02,17,9,9,13,7,11,12,10,13,8,17,14,13,15,13,20,14,22,4,26
2014-11-03,17,9,9,13,7,11,12,10,13,11,17,14,13,15,13,20,14,22,4,26
2014-11-08,17,9,9,13,8,11,12,11,13,11,18,14,16,15,13,21,14,25,7,29
2014-11-09,17,9,9,14,8,11,15,11,13,12,18,14,16,18,16,21,14,25,7,29
2014-11-22,17,9,10,17,8,11,15,11,13,13,18,14,19,18,19,24,14,25,10,32
2014-11-23,17,12,10,17,8,11,15,11,13,13,18,17,19,18,19,24,14,25,10,32
2014-11-24,17,12,10,17,8,11,15,12,13,13,18,17,19,18,19,24,14,26,10,32
2014-11-29,20,13,10,17,11,11,15,13,13,14,21,17,22,19,19,24,17,26,11,33
2014-11-30,20,13,10,17,11,11,15,13,13,14,21,20,22,19,19,27,17,26,11,33
2014-12-02,20,13,10,17,11,11,15,16,13,14,24,20,25,22,20,27,20,26,12,33
2014-12-03,23,13,10,18,11,12,15,16,13,14,24,20,25,22,20,30,20,26,12,36
2014-12-06,23,14,10,18,14,13,18,16,14,15,24,21,25,22,23,33,21,26,12,36
2014-12-07,23,14,10,18,14,13,18,19,14,15,27,21,25,22,23,33,21,26,12,36
2014-12-08,23,14,10,18,14,13,18,19,14,15,27,21,28,22,23,33,21,26,12,36
2014-12-13,26,15,10,18,14,13,19,19,17,16,28,21,28,22,23,36,21,26,15,39
2014-12-14,26,15,10,18,14,13,19,19,17,16,28,24,31,22,23,36,21,26,15,39
2014-12-15,26,15,10,21,14,13,19,19,17,16,28,24,31,22,23,36,21,26,15,39
2014-12-20,26,15,10,21,17,13,19,20,17,16,31,27,32,25,23,39,21,29,15,39
2014-12-21,27,15,10,21,17,13,19,20,17,19,31,27,32,25,23,39,22,29,15,39
2014-12-22,27,15,10,21,17,13,19,20,17,19,31,27,32,25,23,39,22,29,15,42
2014-12-26,30,15,10,21,17,16,22,20,17,19,31,30,35,28,23,42,25,32,15,45
2014-12-28,33,16,13,21,18,16,25,21,17,20,31,31,36,28,26,43,25,33,16,46
2014-12-29,33,16,13,21,18,16,25,21,17,20,31,31,36,28,26,43,28,33,16,46
2015-01-01,33,17,14,21,19,19,26,22,18,20,32,34,37,29,27,46,29,36,17,46
2015-01-10,33,20,17,22,19,19,26,22,21,20,33,34,37,30,27,47,32,36,20,49
2015-01-11,36,20,17,22,19,19,26,22,21,20,33,34,37,30,27,47,32,39,20,49
2015-01-17,36,23,17,22,19,19,29,22,21,20,33,37,40,30,27,47,35,42,20,52
2015-01-18,39,23,17,22,19,19,29,22,21,20,36,37,40,30,27,47,35,42,20,52
2015-01-19,39,23,17,23,19,19,29,22,22,20,36,37,40,30,27,47,35,42,20,52
2015-01-31,39,23,17,26,19,19,32,22,22,23,36,40,43,30,30,48,38,42,20,53
2015-02-01,42,23,17,26,19,19,32,22,22,23,36,40,43,33,30,48,38,42,20,53
