,Arsenal,QPR,Chelsea,Wimbledon FC,Coventry,Man City,Liverpool,Oldham,Man Utd,Notts Co,Norwich,Sheff Utd,Nottm Forest,Everton,Sheff Wed,Aston Villa,Southampton,Tottenham,West Ham,Luton,Leeds,Crystal Palace
1991-08-17,1,1,1,1,0,3,3,0,3,0,1,1,3,0,0,3,0,3,1,1,0,0
1991-08-20,1,1,1,1,0,3,3,0,3,3,1,2,3,3,0,3,0,3,2,1,3,0
1991-08-21,1,1,1,1,3,6,3,3,6,3,4,2,3,3,0,3,0,3,2,1,3,0
1991-08-24,1,2,4,4,4,9,4,4,7,3,5,2,6,4,1,6,3,3,2,2,4,0
1991-08-27,4,2,4,4,4,9,7,4,7,3,5,2,6,4,1,6,3,3,2,2,4,3
1991-08-28,4,2,5,4,7,10,7,4,10,4,6,2,6,4,4,6,3,6,5,2,7,3
1991-08-31,7,2,8,7,7,10,10,4,11,7,6,2,9,4,7,7,4,9,5,2,8,6
1991-09-03,8,2,11,7,7,10,10,7,14,10,7,2,9,5,7,7,4,9,5,2,9,6
1991-09-04,8,3,11,7,7,13,10,7,14,10,7,2,9,5,7,7,4,9,6,5,9,9
1991-09-07,8,4,12,10,10,13,13,10,17,10,7,2,9,6,10,8,5,10,7,5,12,10
1991-09-14,11,4,12,10,13,13,14,10,20,10,10,5,12,6,13,9,5,13,7,8,15,10
1991-09-17,11,7,12,10,13,13,14,10,20,13,10,5,12,9,13,9,5,13,10,8,15,10
1991-09-18,11,7,15,10,14,13,14,10,20,13,13,5,12,9,13,9,8,13,10,8,16,10
1991-09-21,14,8,16,10,14,16,14,10,23,14,14,5,12,12,16,12,8,16,10,8,19,13
1991-09-28,17,9,17,11,17,16,15,13,26,15,15,6,13,13,17,12,8,16,11,9,20,14
1991-10-01,17,9,17,11,17,16,15,13,26,15,15,6,13,13,17,12,8,16,11,9,20,17
1991-10-02,17,9,17,14,17,16,15,13,26,15,15,6,13,13,17,12,8,16,11,9,20,17
1991-10-05,20,9,17,17,20,16,15,14,26,15,15,6,16,16,20,15,9,16,11,9,23,17
1991-10-06,20,9,17,17,20,19,16,14,27,15,15,6,16,16,20,15,9,16,11,9,23,17
1991-10-19,21,12,18,17,20,22,17,15,28,15,16,9,16,16,21,18,10,16,12,10,26,20
1991-10-26,24,15,19,17,20,25,20,15,28,15,19,9,16,16,24,21,13,16,15,10,29,21
1991-11-02,24,15,22,18,20,28,20,15,31,18,20,9,17,19,25,24,13,17,18,10,30,24
1991-11-16,25,15,22,18,20,29,20,16,32,18,23,9,20,22,25,27,13,20,18,10,33,27
1991-11-17,25,15,22,18,20,29,21,16,32,18,23,12,20,22,25,27,13,20,19,10,33,27
1991-11-23,26,15,22,19,20,30,22,19,35,18,26,15,23,25,26,27,16,20,19,11,33,27
1991-11-24,26,15,22,19,20,30,22,19,35,18,26,15,23,25,26,27,16,20,19,11,36,27
1991-11-30,26,18,25,20,23,31,25,22,38,18,26,16,23,25,29,27,16,20,19,12,39,27
1991-12-01,29,18,25,20,23,31,25,22,38,18,26,16,23,25,29,27,16,20,19,12,39,27
1991-12-07,29,21,25,23,23,31,26,22,41,18,27,16,23,28,32,30,17,23,19,12,42,28
1991-12-08,29,21,25,23,23,31,26,22,41,18,27,16,26,28,32,30,17,23,19,12,42,28
1991-12-14,29,22,25,23,23,32,29,23,41,18,27,19,26,29,32,30,17,24,19,12,43,28
1991-12-15,29,22,25,23,23,32,29,23,44,18,27,19,26,29,32,30,17,24,19,12,43,28
1991-12-18,29,22,25,23,23,32,32,23,44,18,27,19,26,29,32,30,17,24,19,12,43,28
1991-12-20,29,22,25,23,23,32,32,23,44,19,27,19,26,29,32,30,18,24,19,15,43,28
1991-12-21,32,25,28,23,23,33,33,23,44,19,27,20,26,29,35,30,18,24,20,15,43,28
1991-12-22,32,25,28,23,23,33,33,23,44,19,27,20,27,29,35,30,18,27,20,15,44,28
1991-12-26,32,26,28,24,26,36,34,23,47,22,27,20,30,29,38,33,19,27,20,18,45,29
1991-12-28,32,27,28,25,27,39,35,26,47,25,27,21,30,30,39,36,19,30,20,21,45,30
1991-12-29,32,27,28,25,27,39,35,26,48,25,27,21,30,30,39,36,19,30,20,21,46,30
1992-01-01,33,30,29,26,27,40,38,27,48,25,30,21,31,33,40,36,19,33,20,22,49,33
1992-01-11,34,31,32,27,28,41,41,30,51,26,30,24,32,33,40,37,19,33,21,22,49,34
1992-01-12,34,31,32,27,28,41,41,30,51,26,30,24,32,33,40,37,19,33,21,22,52,34
1992-01-18,35,32,35,27,28,44,44,30,52,27,30,27,32,33,43,37,22,33,24,22,53,35
1992-01-19,35,32,35,27,28,44,44,30,52,27,30,27,33,34,43,37,22,33,24,22,53,35
1992-01-22,35,32,35,27,28,44,44,30,55,27,30,27,33,34,43,37,22,33,24,22,53,35
1992-01-25,35,32,35,27,28,44,44,31,55,27,30,27,33,34,43,37,22,34,24,22,53,35
1992-01-28,35,32,35,27,28,44,47,31,55,27,30,27,33,34,43,37,22,34,24,22,53,35
1992-02-01,36,33,38,28,31,47,47,31,56,27,33,30,33,34,46,37,22,34,27,22,56,35
1992-02-02,36,33,38,28,31,47,47,31,56,27,33,30,33,35,46,38,22,34,27,22,56,35
1992-02-08,39,34,39,31,32,47,48,34,57,27,33,33,33,36,47,38,22,34,27,25,56,36
1992-02-11,40,34,39,31,32,47,48,34,57,27,34,33,33,36,47,38,22,34,27,25,56,36
1992-02-12,40,34,40,31,32,47,48,34,57,27,34,33,33,36,47,38,23,34,27,25,56,36
1992-02-15,43,34,40,31,32,50,48,37,57,27,34,33,33,36,47,38,23,34,27,25,56,36
1992-02-16,43,34,40,31,32,50,48,37,57,27,34,33,33,36,47,38,23,34,27,25,56,39
1992-02-22,44,35,41,34,33,50,48,37,60,28,37,33,34,36,50,41,24,35,27,28,56,39
1992-02-23,44,35,41,34,33,50,48,37,60,28,37,33,34,37,50,41,24,35,27,28,57,39
1992-02-25,44,35,41,35,33,50,48,37,60,29,37,33,34,37,50,41,24,35,27,29,57,40
1992-02-26,44,35,42,35,33,50,48,37,61,29,37,33,34,37,50,41,24,35,27,29,57,40
1992-02-29,44,36,42,38,34,53,49,37,62,29,40,34,34,40,53,41,25,35,27,29,60,40
1992-03-03,44,36,42,38,34,53,49,37,62,29,40,34,35,40,53,42,28,35,27,29,61,41
1992-03-04,44,36,42,38,35,53,49,37,62,29,41,34,35,40,53,42,28,35,27,29,61,41
1992-03-07,44,39,42,41,36,53,49,37,62,29,41,34,35,43,54,42,28,35,27,30,64,42
1992-03-10,47,39,42,42,36,53,49,37,62,30,41,34,35,44,54,43,28,35,27,30,64,42
1992-03-11,47,42,45,42,36,53,52,37,62,30,41,37,38,44,54,43,31,36,27,31,64,42
1992-03-14,50,45,45,42,39,53,52,40,65,30,41,37,41,45,57,43,31,36,27,32,67,45
1992-03-15,50,45,45,42,39,53,52,40,65,30,41,37,41,45,57,43,34,36,27,32,67,45
1992-03-17,50,45,45,42,39,53,52,40,65,31,41,37,41,46,57,43,34,36,27,32,67,45
1992-03-18,50,45,45,42,39,53,52,40,65,31,41,37,44,46,57,43,34,36,27,32,67,45
1992-03-21,50,46,45,43,40,53,55,41,66,31,44,40,47,46,60,44,37,36,28,32,67,46
1992-03-22,51,46,45,43,40,53,55,41,66,31,44,40,47,46,60,44,37,36,28,32,68,46
1992-03-28,54,47,46,43,40,54,55,44,67,31,44,43,47,46,60,47,37,39,29,32,69,49
1992-03-31,55,47,46,43,40,54,58,44,70,31,44,44,48,46,60,48,37,39,29,32,69,49
1992-04-01,55,47,46,43,40,54,58,44,70,31,44,44,48,46,60,48,40,42,29,32,69,49
1992-04-02,55,47,46,46,40,54,58,44,70,31,44,44,48,46,60,48,40,42,29,32,69,49
1992-04-04,58,47,49,46,40,57,58,44,70,31,44,47,48,46,63,51,43,42,29,35,69,52
1992-04-07,58,47,49,46,40,58,58,44,71,31,44,47,48,46,63,51,43,45,29,35,69,52
1992-04-08,61,47,49,49,41,58,58,44,71,31,44,47,51,46,64,51,43,45,29,35,69,52
1992-04-11,64,47,49,49,41,58,58,47,71,34,44,50,51,46,67,54,43,48,32,35,72,52
1992-04-14,64,47,49,49,41,58,58,47,71,34,44,53,51,46,67,54,46,48,32,38,72,52
1992-04-16,64,47,49,49,41,58,58,47,74,34,44,53,51,46,67,54,46,48,32,38,72,52
1992-04-18,65,47,52,49,41,61,59,48,75,37,44,54,54,49,70,54,46,51,32,39,73,53
1992-04-20,68,50,52,49,41,64,59,51,75,37,44,57,57,49,73,57,49,51,32,39,76,56
1992-04-22,68,50,52,49,41,64,60,51,75,37,44,57,58,49,73,57,49,51,35,39,76,56
1992-04-25,69,51,53,50,44,67,60,51,75,37,45,57,59,50,74,57,52,52,35,42,76,57
1992-04-26,69,51,53,50,44,67,63,51,75,37,45,57,59,50,74,57,52,52,35,42,79,57
1992-05-02,72,54,53,53,44,70,64,51,78,40,45,57,59,53,75,60,52,52,38,42,82,57
