,Brentford,Arsenal,Norwich,Liverpool,Burnley,Brighton,Chelsea,Crystal Palace,Everton,Southampton,Leicester,Wolves,Watford,Aston Villa,Man Utd,Leeds,Tottenham,Man City,Newcastle,West Ham
2021-08-13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-14,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
2021-08-15,3,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,1,0,3
2021-08-21,4,3,3,6,3,6,3,4,6,3,3,3,6,6,3,4,3,4,3,3
2021-08-22,4,3,3,6,3,6,6,4,6,4,3,3,6,6,6,4,6,4,3,3
2021-08-23,4,3,3,6,3,6,6,4,6,4,6,3,6,6,6,4,6,4,3,6
2021-08-28,7,6,3,7,3,6,9,7,9,7,9,3,6,7,6,4,6,7,4,7
2021-08-29,7,6,3,7,4,6,9,7,9,7,9,3,9,7,9,7,9,7,4,7
2021-09-11,7,9,4,7,4,9,12,10,9,8,9,6,9,10,12,7,10,10,7,8
2021-09-12,7,9,4,10,4,9,12,10,9,8,9,6,9,10,12,7,10,10,7,8
2021-09-13,7,9,4,10,7,9,12,10,12,8,9,6,9,10,12,7,10,10,7,8
2021-09-17,7,9,4,10,7,9,12,10,12,8,9,6,9,10,12,10,10,10,8,8
2021-09-18,10,12,4,13,7,9,12,13,13,9,9,6,12,13,12,10,10,11,8,8
2021-09-19,10,12,4,13,7,12,15,13,13,9,12,6,12,13,15,10,10,11,8,8
2021-09-25,11,12,7,16,10,12,15,13,16,9,13,6,13,16,15,10,10,14,11,11
2021-09-26,11,15,7,16,10,12,15,13,16,9,13,9,13,16,15,10,13,14,11,11
2021-09-27,11,15,7,16,10,15,15,14,16,9,13,9,13,16,15,10,13,14,11,11
2021-10-02,11,16,8,16,11,16,18,14,19,12,13,12,16,16,16,13,13,14,14,11
2021-10-03,14,16,8,17,11,16,18,15,19,12,16,12,16,19,16,13,16,17,14,11
2021-10-16,14,16,9,20,14,17,21,15,19,15,19,15,16,19,19,14,16,20,14,11
2021-10-17,14,16,9,20,14,17,21,15,19,15,19,15,16,19,19,14,19,20,14,14
2021-10-18,14,17,9,20,14,17,21,18,19,15,19,15,16,19,19,14,19,20,14,14
2021-10-22,14,20,9,20,14,17,21,18,19,15,19,15,16,22,19,14,19,20,14,14
2021-10-23,14,20,12,20,17,17,24,19,19,16,19,18,19,22,19,15,19,23,17,14
2021-10-24,14,20,12,23,17,17,24,19,19,16,22,18,19,22,19,15,20,23,17,17
2021-10-30,17,23,12,24,20,20,27,22,19,19,22,18,19,22,22,15,20,23,17,17
2021-10-31,17,23,12,24,20,20,27,22,19,19,22,18,19,22,22,18,20,23,17,20
2021-11-01,17,23,12,24,20,20,27,22,22,19,22,21,19,22,22,18,20,23,17,20
2021-11-05,17,23,12,24,20,20,27,22,22,22,22,21,19,25,22,18,20,23,17,20
2021-11-06,17,23,15,24,23,21,28,25,22,22,22,22,19,25,22,18,20,26,20,20
2021-11-07,17,26,15,27,23,21,28,25,23,22,25,22,20,25,22,19,21,26,20,23
2021-11-20,20,29,18,30,24,22,31,28,23,25,25,25,23,28,25,19,21,26,21,24
2021-11-21,20,29,18,30,24,22,31,28,26,25,25,25,23,28,25,22,24,29,21,24
2021-11-27,20,32,19,33,24,23,31,28,26,28,25,26,23,31,25,23,24,29,22,24
2021-11-28,23,32,19,33,24,23,32,28,29,28,28,26,26,31,28,23,24,32,22,27
2021-11-30,23,32,22,33,24,23,32,29,29,28,28,26,26,31,28,26,24,32,23,27
2021-12-01,23,32,22,36,25,26,35,29,29,29,31,27,26,31,28,26,24,35,23,28
2021-12-02,26,35,22,36,25,26,35,29,29,29,31,27,26,31,31,26,27,35,23,28
