team,points,date
Arsenal,3,1996-08-17
West Ham,0,1996-08-17
Blackburn,0,1996-08-17
Tottenham,3,1996-08-17
Coventry,0,1996-08-17
Nottm Forest,3,1996-08-17
Derby,1,1996-08-17
Leeds,1,1996-08-17
Everton,3,1996-08-17
Newcastle,0,1996-08-17
Middlesbrough,1,1996-08-17
Liverpool,1,1996-08-17
Sheff Wed,3,1996-08-17
Aston Villa,0,1996-08-17
Sunderland,1,1996-08-17
Leicester,1,1996-08-17
Wimbledon FC,0,1996-08-17
Man Utd,3,1996-08-17
Southampton,1,1996-08-18
Chelsea,1,1996-08-18
Liverpool,1,1996-08-19
Arsenal,1,1996-08-19
Leeds,0,1996-08-20
Sheff Wed,3,1996-08-20
Aston Villa,3,1996-08-21
Blackburn,0,1996-08-21
Chelsea,3,1996-08-21
Middlesbrough,0,1996-08-21
Leicester,3,1996-08-21
Southampton,0,1996-08-21
Man Utd,1,1996-08-21
Everton,1,1996-08-21
Newcastle,3,1996-08-21
Wimbledon FC,0,1996-08-21
Nottm Forest,0,1996-08-21
Sunderland,3,1996-08-21
Tottenham,1,1996-08-21
Derby,1,1996-08-21
West Ham,1,1996-08-21
Coventry,1,1996-08-21
Aston Villa,3,1996-08-24
Derby,0,1996-08-24
Chelsea,3,1996-08-24
Coventry,0,1996-08-24
Leicester,0,1996-08-24
Arsenal,3,1996-08-24
Liverpool,1,1996-08-24
Sunderland,1,1996-08-24
Newcastle,0,1996-08-24
Sheff Wed,3,1996-08-24
Nottm Forest,1,1996-08-24
Middlesbrough,1,1996-08-24
Tottenham,1,1996-08-24
Everton,1,1996-08-24
West Ham,3,1996-08-24
Southampton,0,1996-08-24
Man Utd,1,1996-08-25
Blackburn,1,1996-08-25
Leeds,3,1996-08-26
Wimbledon FC,0,1996-08-26
Sheff Wed,3,1996-09-02
Leicester,0,1996-09-02
Arsenal,1,1996-09-04
Chelsea,1,1996-09-04
Blackburn,0,1996-09-04
Leeds,3,1996-09-04
Coventry,0,1996-09-04
Liverpool,3,1996-09-04
Derby,1,1996-09-04
Man Utd,1,1996-09-04
Everton,0,1996-09-04
Aston Villa,3,1996-09-04
Middlesbrough,3,1996-09-04
