web-scraper-order,web-scraper-start-url,selector1
"1657196981-331","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Southampton"
"1657196981-305","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-681","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Birmingham"
"1657196981-785","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Middlesbrough"
"1657196981-341","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-657","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-519","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Newcastle"
"1657196981-754","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-572","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-213","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-287","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","26.04. 15:00"
"1657196981-367","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-422","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Blackburn"
"1657196981-704","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-312","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","6"
"1657196981-128","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Liverpool"
"1657196981-547","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-497","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","12.04. 15:00"
"1657196981-370","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-389","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-277","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-532","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","06.04. 16:00"
"1657196981-118","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-396","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-563","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-140","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","11.05. 15:00"
"1657196981-163","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Blackburn"
"1657196981-306","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-215","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-289","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Aston Villa"
"1657196981-273","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","26.04. 15:00"
"1657196981-297","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-391","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-385","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","19.04. 15:00"
"1657196981-483","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","12.04. 15:00"
"1657196981-282","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Fulham"
"1657196981-133","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","11.05. 15:00"
"1657196981-565","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-786","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Everton"
"1657196981-538","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-332","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
"1657196981-479","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-667","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Chelsea"
"1657196981-446","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-688","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Arsenal"
"1657196981-721","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","15.03. 15:00"
"1657196981-740","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-115","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-516","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-660","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Brom"
"1657196981-809","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-444","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-169","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Brom"
"1657196981-201","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-268","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Middlesbrough"
"1657196981-722","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Sunderland"
"1657196981-709","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Southampton"
"1657196981-371","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","21.04. 15:00"
"1657196981-180","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(5)"
"1657196981-292","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-747","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-498","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Man City"
"1657196981-718","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
"1657196981-176","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Arsenal"
"1657196981-823","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-393","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Bolton"
"1657196981-246","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Man Utd"
"1657196981-675","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-274","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-570","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-245","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","03.05. 12:30"
"1657196981-677","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-571","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-557","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-378","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","21.04. 15:00"
"1657196981-628","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-219","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Man City"
"1657196981-346","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","4"
"1657196981-594","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-546","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","05.04. 15:00"
"1657196981-522","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","6"
"1657196981-624","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Middlesbrough"
"1657196981-252","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","27.04. 16:05"
"1657196981-468","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-403","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-804","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-762","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-646","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Sunderland"
"1657196981-144","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-136","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-125","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-524","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(4)"
"1657196981-820","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Birmingham"
"1657196981-229","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(3)"
"1657196981-225","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Middlesbrough"
"1657196981-732","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-224","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","03.05. 15:00"
"1657196981-231","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","03.05. 15:00"
"1657196981-232","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Newcastle"
"1657196981-405","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-242","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-383","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-512","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
"1657196981-637","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","22.03. 15:00"
"1657196981-663","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-633","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","5"
"1657196981-832","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-623","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","22.03. 15:00"
"1657196981-481","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-199","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-746","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-188","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-372","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Brom"
"1657196981-375","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","3"
"1657196981-668","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-683","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-690","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-322","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","22.04. 19:45"
"1657196981-410","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-776","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-698","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-471","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-700","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","15.03. 15:00"
"1657196981-399","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","19.04. 15:00"
"1657196981-401","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Birmingham"
"1657196981-773","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-138","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-495","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-812","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","24.02. 20:00"
"1657196981-329","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","21.04. 15:00"
