,Man Utd,Leicester,Wolves,Everton,Bournemouth,Cardiff,Fulham,Crystal Palace,Huddersfield,Chelsea,Watford,Brighton,Newcastle,Tottenham,Arsenal,Man City,Liverpool,West Ham,Southampton,Burnley
2018-08-10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-11,3,0,1,1,3,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0
2018-08-12,3,0,1,1,3,0,0,3,0,3,3,0,0,3,0,3,3,0,1,1
2018-08-18,3,3,1,4,6,1,0,3,0,6,3,0,1,6,0,3,3,0,1,1
2018-08-19,3,3,1,4,6,1,0,3,0,6,6,3,1,6,0,6,3,0,1,1
2018-08-20,3,3,1,4,6,1,0,3,0,6,6,3,1,6,0,6,6,0,1,1
2018-08-25,3,6,2,5,7,2,0,3,1,6,6,3,1,6,3,7,9,0,1,1
2018-08-26,3,6,2,5,7,2,3,3,1,9,9,3,1,6,3,7,9,0,1,1
2018-08-27,3,6,2,5,7,2,3,3,1,9,9,3,1,9,3,7,9,0,1,1
2018-09-01,3,6,5,6,7,2,4,3,2,12,9,4,1,9,3,10,12,0,4,1
2018-09-02,6,6,5,6,7,2,4,3,2,12,12,4,1,9,6,10,12,0,4,1
2018-09-15,9,6,5,6,10,2,4,6,2,15,12,4,1,9,9,13,15,0,4,1
2018-09-16,9,6,8,6,10,2,4,6,2,15,12,4,1,9,9,13,15,3,4,1
2018-09-17,9,6,8,6,10,2,4,6,2,15,12,5,1,9,9,13,15,3,5,1
2018-09-22,10,9,9,6,10,2,5,7,2,15,13,5,2,12,9,16,18,3,5,4
2018-09-23,10,9,9,6,10,2,5,7,2,16,13,5,2,12,12,16,18,4,5,4
2018-09-29,10,12,12,9,10,2,5,7,2,17,13,5,2,15,15,19,19,7,5,4
2018-09-30,10,12,12,9,10,2,5,7,2,17,13,5,2,15,15,19,19,7,5,7
2018-10-01,10,12,12,9,13,2,5,7,2,17,13,5,2,15,15,19,19,7,5,7
2018-10-05,10,12,12,9,13,2,5,7,2,17,13,8,2,15,15,19,19,7,5,7
2018-10-06,13,12,15,12,16,2,5,7,3,17,13,8,2,18,15,19,19,7,5,8
2018-10-07,13,12,15,12,16,2,5,7,3,20,13,8,2,18,18,20,20,7,5,8
2018-10-20,14,12,15,12,17,5,5,7,3,21,16,11,2,21,18,23,23,7,6,8
2018-10-21,14,12,15,15,17,5,5,7,3,21,16,11,2,21,18,23,23,7,6,8
2018-10-22,14,12,15,15,17,5,5,7,3,21,16,11,2,21,21,23,23,7,6,8
2018-10-27,14,13,15,15,20,5,5,7,3,21,19,14,3,21,21,23,26,8,7,8
2018-10-28,17,13,15,15,20,5,5,8,3,24,19,14,3,21,22,23,26,8,7,8
2018-10-29,17,13,15,15,20,5,5,8,3,24,19,14,3,21,22,26,26,8,7,8
2018-11-03,20,16,15,18,20,5,5,8,3,24,19,14,6,24,23,26,27,11,7,8
2018-11-04,20,16,15,18,20,5,5,8,3,27,19,14,6,24,23,29,27,11,7,8
2018-11-05,20,16,15,18,20,5,5,8,6,27,19,14,6,24,23,29,27,11,7,8
2018-11-10,20,17,15,18,20,8,5,8,7,27,20,14,9,27,23,29,27,12,8,9
2018-11-11,20,17,16,19,20,8,5,8,7,28,20,14,9,27,24,32,30,12,8,9
2018-11-24,21,18,16,22,20,8,8,9,7,28,20,15,9,30,24,35,33,12,8,9
2018-11-25,21,18,16,22,20,8,8,9,10,28,20,15,9,30,27,35,33,12,8,9
2018-11-26,21,18,16,22,20,8,8,9,10,28,20,15,12,30,27,35,33,12,8,9
2018-11-30,21,18,16,22,20,11,8,9,10,28,20,15,12,30,27,35,33,12,8,9
2018-12-01,22,21,16,22,20,11,8,12,10,28,20,18,12,30,27,38,33,15,9,9
2018-12-02,22,21,16,22,20,11,8,12,10,31,20,18,12,30,30,38,36,15,9,9
2018-12-04,22,21,16,22,23,11,8,12,10,31,20,21,12,30,30,41,36,18,9,9
2018-12-05,23,22,19,23,23,11,9,12,10,31,20,21,13,33,31,41,39,18,9,9
2018-12-08,26,22,19,23,23,14,9,12,10,34,20,21,13,36,34,41,42,21,9,12
2018-12-09,26,22,22,23,23,14,9,12,10,34,20,21,13,36,34,41,42,21,9,12
2018-12-10,26,22,22,24,23,14,9,12,10,34,21,21,13,36,34,41,42,21,9,12
2018-12-15,26,22,25,24,23,14,9,15,10,34,24,21,16,39,34,44,42,24,9,12
2018-12-16,26,22,25,24,23,14,9,15,10,37,24,21,16,39,34,44,45,24,12,12
2018-12-21,26,22,25,24,23,14,9,15,10,37,24,21,16,39,34,44,48,24,12,12
2018-12-22,29,25,25,24,26,14,10,18,10,37,27,21,17,39,37,44,48,24,15,12
2018-12-23,29,25,25,24,26,14,10,18,10,37,27,21,17,42,37,44,48,24,15,12
2018-12-26,32,28,26,27,26,15,11,19,10,40,27,22,17,45,38,44,51,24,15,12
2018-12-27,32,28,26,27,26,15,11,19,10,40,27,22,17,45,38,44,51,27,15,12
2018-12-29,32,28,29,27,26,18,14,19,10,40,28,25,18,45,38,44,54,27,15,12
2018-12-30,35,28,29,27,26,18,14,19,10,43,28,25,18,45,38,47,54,27,15,15
2019-01-01,35,31,29,27,26,18,14,19,10,43,28,25,18,48,41,47,54,27,15,15
2019-01-02,38,31,29,27,27,18,14,22,10,44,29,26,18,48,41,47,54,28,16,18
2019-01-03,38,31,29,27,27,18,14,22,10,44,29,26,18,48,41,50,54,28,16,18
2019-01-12,38,31,29,27,27,19,14,22,11,47,32,26,18,48,41,50,57,31,19,21
2019-01-13,41,31,29,30,27,19,14,22,11,47,32,26,18,48,41,50,57,31,19,21
2019-01-14,41,31,29,30,27,19,14,22,11,47,32,26,18,48,41,53,57,31,19,21
2019-01-19,44,31,32,30,30,19,14,22,11,47,33,26,21,48,44,53,60,31,22,22
2019-01-20,44,31,32,30,30,19,14,22,11,47,33,26,21,51,44,56,60,31,22,22
2019-01-29,45,31,35,33,30,19,17,22,11,47,33,26,24,51,47,56,60,31,22,23
2019-01-30,45,32,35,33,33,19,17,23,11,47,33,26,24,54,47,56,61,31,23,23
2019-02-02,45,32,38,33,33,22,17,26,11,50,34,27,24,57,47,56,61,31,24,24
2019-02-03,48,32,38,33,33,22,17,26,11,50,34,27,24,57,47,59,61,31,24,24
2019-02-04,48,32,38,33,33,22,17,26,11,50,34,27,24,57,47,59,62,32,24,24
2019-02-06,48,32,38,33,33,22,17,26,11,50,34,27,24,57,47,62,62,32,24,24
2019-02-09,51,32,38,33,33,25,17,27,11,50,37,27,24,57,50,62,65,33,24,27
2019-02-10,51,32,38,33,33,25,17,27,11,50,37,27,24,60,50,65,65,33,24,27
2019-02-11,51,32,39,33,33,25,17,27,11,50,37,27,25,60,50,65,65,33,24,27
2019-02-22,51,32,39,33,33,25,17,27,11,50,40,27,25,60,50,65,65,36,24,27
