,RCB,Kings XI,Daredevils,KKR,Mumbai,Royals,Chargers,Super Kings,Kochi,Warriors,Sunrisers,Guj Lions,Supergiants,Supergiant,Capitals,Punjab Kings,Titans,Super Giants
2008-04-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-19,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008-04-20,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008-04-21,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-04-22,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2008-04-23,1,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2008-04-24,1,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2008-04-25,1,1,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2008-04-26,1,1,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0
2008-04-27,1,2,2,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0
2008-04-28,1,2,2,2,0,3,1,4,0,0,0,0,0,0,0,0,0,0
2008-04-29,1,2,2,2,1,3,1,4,0,0,0,0,0,0,0,0,0,0
2008-04-30,1,2,3,2,1,3,1,4,0,0,0,0,0,0,0,0,0,0
2008-05-01,1,3,3,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0
2008-05-02,1,3,4,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0
2008-05-03,2,4,4,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0
2008-05-04,2,4,4,2,2,5,1,4,0,0,0,0,0,0,0,0,0,0
2008-05-05,2,5,4,2,2,5,1,4,0,0,0,0,0,0,0,0,0,0
2008-05-06,2,5,4,2,2,5,2,4,0,0,0,0,0,0,0,0,0,0
2008-05-07,2,5,4,2,3,5,2,4,0,0,0,0,0,0,0,0,0,0
2008-05-08,2,5,4,3,3,5,2,5,0,0,0,0,0,0,0,0,0,0
2008-05-09,2,5,4,3,3,6,2,5,0,0,0,0,0,0,0,0,0,0
2008-05-10,2,5,4,3,3,6,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-11,2,5,4,4,3,7,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-12,2,6,4,4,3,7,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-13,2,6,4,5,3,7,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-14,2,6,4,5,4,7,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-15,2,6,5,5,4,7,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-16,2,6,5,5,5,7,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-17,2,7,5,5,5,8,2,6,0,0,0,0,0,0,0,0,0,0
2008-05-18,2,7,5,5,6,8,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-19,2,7,6,5,6,8,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-20,2,7,6,5,6,9,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-21,3,8,6,5,6,9,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-22,3,8,6,5,6,9,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-23,3,9,6,5,6,9,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-24,3,9,7,5,6,10,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-25,4,9,7,6,6,10,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-26,4,9,7,6,6,11,2,7,0,0,0,0,0,0,0,0,0,0
2008-05-27,4,9,7,6,6,11,2,8,0,0,0,0,0,0,0,0,0,0
2008-05-28,4,10,7,6,7,11,2,8,0,0,0,0,0,0,0,0,0,0
2008-05-30,4,10,7,6,7,12,2,8,0,0,0,0,0,0,0,0,0,0
2008-05-31,4,10,7,6,7,12,2,9,0,0,0,0,0,0,0,0,0,0
2008-06-01,4,10,7,6,7,13,2,9,0,0,0,0,0,0,0,0,0,0
2009-04-18,5,10,7,6,8,13,2,9,0,0,0,0,0,0,0,0,0,0
2009-04-19,5,10,8,6,8,13,3,9,0,0,0,0,0,0,0,0,0,0
2009-04-20,5,10,8,6,8,13,3,10,0,0,0,0,0,0,0,0,0,0
2009-04-21,5,10,8,7,8,13,3,10,0,0,0,0,0,0,0,0,0,0
2009-04-22,5,10,8,7,8,13,4,10,0,0,0,0,0,0,0,0,0,0
2009-04-23,5,10,9,7,8,13,4,10,0,0,0,0,0,0,0,0,0,0
2009-04-24,5,11,9,7,8,13,4,10,0,0,0,0,0,0,0,0,0,0
2009-04-25,5,11,9,7,8,13,5,10,0,0,0,0,0,0,0,0,0,0
2009-04-26,5,12,10,7,8,13,5,10,0,0,0,0,0,0,0,0,0,0
2009-04-27,5,12,10,7,9,13,6,10,0,0,0,0,0,0,0,0,0,0
2009-04-28,5,12,10,7,9,14,6,10,0,0,0,0,0,0,0,0,0,0
2009-04-29,6,13,10,7,9,14,6,10,0,0,0,0,0,0,0,0,0,0
2009-04-30,6,13,11,7,9,14,6,11,0,0,0,0,0,0,0,0,0,0
2009-05-01,7,13,11,7,10,14,6,11,0,0,0,0,0,0,0,0,0,0
2009-05-02,7,13,11,7,10,15,6,12,0,0,0,0,0,0,0,0,0,0
2009-05-03,8,14,11,7,10,15,6,12,0,0,0,0,0,0,0,0,0,0
2009-05-04,8,14,11,7,10,15,6,13,0,0,0,0,0,0,0,0,0,0
2009-05-05,8,14,12,7,10,16,6,13,0,0,0,0,0,0,0,0,0,0
2009-05-06,8,14,12,7,10,16,7,13,0,0,0,0,0,0,0,0,0,0
2009-05-07,8,14,12,7,10,17,7,14,0,0,0,0,0,0,0,0,0,0
2009-05-08,8,14,13,7,10,17,7,14,0,0,0,0,0,0,0,0,0,0
2009-05-09,8,15,13,7,10,17,7,15,0,0,0,0,0,0,0,0,0,0
2009-05-10,8,15,14,7,11,17,7,15,0,0,0,0,0,0,0,0,0,0
2009-05-11,8,15,14,7,11,17,8,15,0,0,0,0,0,0,0,0,0,0
2009-05-12,9,15,14,7,12,17,8,15,0,0,0,0,0,0,0,0,0,0
2009-05-13,9,15,15,7,12,17,8,15,0,0,0,0,0,0,0,0,0,0
2009-05-14,10,15,15,7,12,18,8,15,0,0,0,0,0,0,0,0,0,0
2009-05-15,10,16,15,7,12,18,8,15,0,0,0,0,0,0,0,0,0,0
2009-05-16,10,16,15,7,12,18,9,16,0,0,0,0,0,0,0,0,0,0
