team,2004,date
Espanyol,1,2004-08-28
La Coruna,1,2004-08-28
Atl. Madrid,3,2004-08-28
Malaga,0,2004-08-28
Numancia,1,2004-08-28
Betis,1,2004-08-28
Racing Santander,0,2004-08-29
Barcelona,3,2004-08-29
Mallorca,0,2004-08-29
Real Madrid,3,2004-08-29
Osasuna,1,2004-08-29
Ath. Bilbao,1,2004-08-29
Real Sociedad,1,2004-08-29
Levante,1,2004-08-29
Sevilla,3,2004-08-29
Albacete,0,2004-08-29
Zaragoza,3,2004-08-29
Getafe,0,2004-08-29
Valencia,3,2004-08-30
Villarreal,0,2004-08-30
Barcelona,3,2004-09-11
Sevilla,0,2004-09-11
Real Madrid,3,2004-09-11
Numancia,0,2004-09-11
Ath. Bilbao,1,2004-09-11
Valencia,1,2004-09-11
Albacete,0,2004-09-12
Atl. Madrid,3,2004-09-12
Betis,0,2004-09-12
Espanyol,3,2004-09-12
Getafe,0,2004-09-12
Mallorca,3,2004-09-12
Levante,3,2004-09-12
Racing Santander,0,2004-09-12
Malaga,1,2004-09-12
Zaragoza,1,2004-09-12
Villarreal,1,2004-09-12
Real Sociedad,1,2004-09-12
La Coruna,0,2004-09-12
Osasuna,3,2004-09-12
Valencia,3,2004-09-18
Real Sociedad,0,2004-09-18
Espanyol,3,2004-09-18
Real Madrid,0,2004-09-18
Osasuna,3,2004-09-18
Betis,0,2004-09-18
Ath. Bilbao,0,2004-09-19
La Coruna,3,2004-09-19
Atl. Madrid,1,2004-09-19
Barcelona,1,2004-09-19
Mallorca,0,2004-09-19
Malaga,3,2004-09-19
Numancia,3,2004-09-19
Getafe,0,2004-09-19
Racing Santander,1,2004-09-19
Villarreal,1,2004-09-19
Sevilla,3,2004-09-19
Levante,0,2004-09-19
Zaragoza,3,2004-09-19
Albacete,0,2004-09-19
Real Madrid,3,2004-09-21
Osasuna,0,2004-09-21
La Coruna,0,2004-09-22
Valencia,3,2004-09-22
Albacete,1,2004-09-22
Mallorca,1,2004-09-22
Betis,3,2004-09-22
Ath. Bilbao,0,2004-09-22
Getafe,3,2004-09-22
Espanyol,0,2004-09-22
Levante,3,2004-09-22
Atl. Madrid,0,2004-09-22
Malaga,3,2004-09-22
Numancia,0,2004-09-22
Real Sociedad,0,2004-09-22
Racing Santander,3,2004-09-22
Villarreal,1,2004-09-22
Sevilla,1,2004-09-22
Barcelona,3,2004-09-23
Zaragoza,0,2004-09-23
La Coruna,1,2004-09-25
Betis,1,2004-09-25
Ath. Bilbao,3,2004-09-25
Real Madrid,0,2004-09-25
Atl. Madrid,3,2004-09-25
Villarreal,0,2004-09-25
Sevilla,3,2004-09-26
Real Sociedad,0,2004-09-26
Mallorca,0,2004-09-26
Barcelona,3,2004-09-26
Espanyol,3,2004-09-26
Malaga,0,2004-09-26
Numancia,1,2004-09-26
Albacete,1,2004-09-26
Osasuna,3,2004-09-26
Getafe,0,2004-09-26
Valencia,3,2004-09-26
Racing Santander,0,2004-09-26
Zaragoza,3,2004-09-26
Levante,0,2004-09-26
Real Sociedad,3,2004-10-02
Atl. Madrid,0,2004-10-02
Betis,1,2004-10-02
Valencia,1,2004-10-02
Real Madrid,0,2004-10-03
La Coruna,3,2004-10-03
Barcelona,3,2004-10-03
Numancia,0,2004-10-03
Albacete,3,2004-10-03
Espanyol,0,2004-10-03
Getafe,3,2004-10-03
Ath. Bilbao,0,2004-10-03
Levante,3,2004-10-03
Mallorca,0,2004-10-03
Malaga,3,2004-10-03
Osasuna,0,2004-10-03
Racing Santander,1,2004-10-03
Sevilla,1,2004-10-03
Villarreal,3,2004-10-03
Zaragoza,0,2004-10-03
Espanyol,0,2004-10-16
Barcelona,3,2004-10-16
Betis,1,2004-10-16
Real Madrid,1,2004-10-16
La Coruna,3,2004-10-16
Getafe,0,2004-10-16
Valencia,0,2004-10-17
Sevilla,3,2004-10-17
Atl. Madrid,3,2004-10-17
Racing Santander,0,2004-10-17
Osasuna,3,2004-10-17
Albacete,0,2004-10-17
