,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,Team 15,Team 16,Team 17,Team 18,Team 19,Team 20
2018-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2018-01-02,0,0,1,3,3,0,1,1,0,3,3,0,0,0,1,0,3,0,0,0
2018-01-03,3,0,1,3,3,0,1,1,1,3,3,3,0,0,1,0,3,0,0,1
2018-01-04,6,0,4,4,3,0,1,4,1,6,4,3,0,3,1,0,4,0,1,1
2018-01-05,6,0,4,4,3,1,1,4,2,6,4,3,0,3,4,0,4,0,1,1
2018-01-06,6,0,4,4,3,1,1,4,2,6,4,4,0,3,4,0,4,0,1,2
2018-01-07,6,3,4,4,3,1,1,4,2,6,4,4,0,3,4,0,4,0,1,2
2018-01-08,6,3,4,4,3,4,4,4,5,9,4,4,0,3,4,3,4,0,4,2
2018-01-09,6,3,4,4,4,4,4,4,5,9,7,4,3,3,4,3,4,0,4,3
2018-01-10,6,3,4,4,4,5,7,4,8,12,10,5,4,3,5,4,4,1,7,3
2018-01-11,7,3,4,4,4,5,7,7,8,12,10,5,4,3,5,4,5,1,7,3
2018-01-12,7,3,4,5,5,8,7,7,8,15,10,8,4,6,5,7,8,1,7,3
2018-01-13,8,3,7,5,5,8,7,7,8,15,10,8,4,6,5,7,8,2,7,3
2018-01-14,8,4,7,5,5,8,7,7,8,15,10,8,4,6,5,7,8,2,8,3
2018-01-15,8,4,10,5,5,8,7,7,8,15,10,8,4,6,5,7,8,2,8,3
2018-01-16,8,4,10,6,8,8,7,7,11,15,13,8,5,6,8,7,8,2,8,3
2018-01-17,11,4,10,6,8,8,8,7,11,18,13,8,5,6,8,7,8,2,11,4
2018-01-18,11,5,11,6,9,11,11,7,11,21,16,8,5,6,8,7,11,2,12,7
2018-01-19,11,5,11,6,9,11,11,7,14,21,16,8,5,6,8,7,11,2,12,7
2018-01-20,12,5,11,6,9,11,11,7,14,21,16,9,5,6,8,7,11,2,12,7
2018-01-21,12,8,11,9,12,11,14,7,14,24,16,9,5,6,9,7,11,3,12,7
2018-01-22,15,8,11,9,12,14,14,7,14,24,16,9,8,6,9,7,11,3,12,10
2018-01-23,15,11,12,9,12,17,14,10,17,24,19,9,8,7,9,8,12,4,12,11
2018-01-24,15,11,12,9,12,17,14,10,17,25,19,10,8,7,9,8,12,4,12,11
2018-01-25,15,11,12,9,12,17,14,10,17,25,19,10,8,7,12,8,12,4,12,11
2018-01-26,15,11,12,9,12,17,14,10,20,25,19,10,8,7,12,8,12,4,12,11
2018-01-27,15,11,13,12,12,20,14,10,20,25,22,10,8,7,13,8,12,5,13,11
2018-01-28,16,11,13,12,12,20,15,10,20,28,22,13,9,7,13,8,12,5,13,12
2018-01-29,17,11,16,15,12,23,15,10,20,31,25,13,12,7,16,8,12,5,13,13
2018-01-30,17,11,16,15,12,23,15,11,23,31,25,13,12,7,16,8,13,5,13,13
2018-01-31,17,11,16,15,12,23,15,11,23,31,25,13,12,7,16,8,13,8,13,13
2018-02-01,17,11,16,15,15,26,15,14,26,31,25,13,15,7,17,8,14,8,13,13
2018-02-02,17,11,16,15,15,26,15,14,26,34,25,16,15,7,17,8,14,8,13,16
2018-02-03,18,11,16,15,18,26,15,14,29,37,28,16,15,10,17,9,17,8,13,19
2018-02-04,18,11,16,15,18,26,15,14,29,37,28,17,15,10,18,9,17,8,13,19
2018-02-05,18,14,16,15,18,26,15,14,29,37,28,17,15,10,18,9,17,8,13,19
2018-02-06,18,14,16,15,18,26,18,14,29,40,29,17,16,10,18,12,20,8,16,19
2018-02-07,19,15,16,15,18,26,18,14,32,40,29,18,16,11,19,12,20,8,16,20
2018-02-08,19,15,16,15,18,26,21,14,32,40,32,18,16,11,19,12,20,8,16,20
2018-02-09,19,15,16,15,18,29,21,14,35,43,32,21,16,11,19,15,20,8,16,23
2018-02-10,19,15,16,18,18,29,21,14,35,43,32,21,19,11,19,15,20,8,16,23
2018-02-11,19,15,16,18,18,29,22,17,35,46,32,24,19,11,19,15,23,9,16,23
2018-02-12,19,15,16,19,18,29,22,17,38,46,32,24,22,11,22,15,23,9,16,24
2018-02-13,22,15,16,19,18,29,22,17,38,46,32,24,22,11,22,15,23,9,16,24
2018-02-14,22,15,19,19,21,29,22,17,39,49,32,24,22,12,25,15,23,9,19,24
2018-02-15,22,15,19,19,21,29,22,18,39,49,35,25,22,12,25,15,26,9,19,24
2018-02-16,22,15,19,20,21,29,23,18,39,49,35,25,22,12,25,15,26,9,19,24
2018-02-17,23,15,19,20,24,29,23,19,39,49,38,25,25,12,28,18,26,9,19,27
