,United States,Greece,Germany,France,Great Britain,Hungary,Austria,Australia,Denmark,Switzerland,Mixed team,Belgium,Italy,Cuba,Canada,Spain,Luxembourg,Norway,Netherlands,India,Bohemia,Sweden,Australasia,Russian Empire,Finland,South Africa,Estonia,Brazil,Japan,Czechoslovakia,New Zealand,Yugoslavia,Argentina,Uruguay,Poland,Haiti,Portugal,Romania,Egypt,Ireland,Chile,Philippines,Mexico,Latvia,Turkey,Jamaica,Peru,Ceylon,Trinidad and Tobago,Panama,South Korea,Iran,Puerto Rico,Soviet Union,Lebanon,Bulgaria,Venezuela,United Team of Germany,Iceland,Pakistan,Bahamas,Ethiopia,Formosa,Ghana,Morocco,Singapore,British West Indies,Iraq,Tunisia,Kenya,Nigeria,East Germany,West Germany,Mongolia,Uganda,Cameroon,Taiwan,North Korea,Colombia,Niger,Bermuda,Thailand,Zimbabwe,Tanzania,Guyana,China,Ivory Coast,Syria,Algeria,Chinese Taipei,Dominican Republic,Zambia,Suriname,Costa Rica,Indonesia,Netherlands Antilles,Senegal,Virgin Islands,Djibouti,Unified Team,Lithuania,Namibia,Croatia,Independent Olympic Participants,Israel,Slovenia,Malaysia,Qatar,Russia,Ukraine,Czech Republic,Kazakhstan,Belarus,FR Yugoslavia,Slovakia,Armenia,Burundi,Ecuador,Hong Kong,Moldova,Uzbekistan,Azerbaijan,Tonga,Georgia,Mozambique,Saudi Arabia,Sri Lanka,Vietnam,Barbados,Kuwait,Kyrgyzstan,Macedonia,United Arab Emirates,Serbia and Montenegro,Paraguay,Eritrea,Serbia,Tajikistan,Samoa,Sudan,Afghanistan,Mauritius,Togo,Bahrain,Grenada,Botswana,Cyprus,Gabon,Guatemala,Montenegro,Independent Olympic Athletes,Fiji,Jordan,Kosovo,ROC,San Marino,North Macedonia,Turkmenistan,Burkina Faso
1896,2020,4747,1313,1111,77,66,55,22,66,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,4848,047,99,102102,3232,55,66,55,66,99,1919,1717,55,22,22,11,11,55,55,22,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,231231,22,1515,11,22,44,33,44,06,33,44,017,05,33,66,01,01,22,05,02,02,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,4747,44,1313,1919,146146,99,11,04,55,03,04,88,44,03,1616,01,01,88,22,02,22,2525,55,33,55,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,6363,22,2525,1414,4141,88,44,04,1212,03,04,66,66,03,88,01,01,1010,33,02,02,6565,77,55,2626,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,9595,11,025,4141,4242,08,04,33,1313,1111,04,3636,2323,03,99,22,11,3131,1111,02,02,6464,07,05,3434,1010,33,33,22,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,9999,01,025,3838,3434,99,44,66,99,2525,04,1313,1616,03,44,02,01,1010,1010,02,02,2929,07,05,3737,33,66,03,11,1010,11,22,66,11,22,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,5656,01,3131,2121,2020,99,33,44,66,1515,04,33,1919,03,1515,11,01,44,1919,11,02,2525,07,05,2525,33,55,03,55,99,11,55,77,11,55,11,11,01,44,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,103103,01,2020,1919,1616,1515,55,55,66,11,04,03,3636,03,1515,11,01,04,77,11,02,2323,07,05,2525,55,05,03,1818,44,11,05,44,11,77,01,01,01,04,22,01,33,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,5757,01,101101,1919,1414,1616,1717,11,55,1818,04,33,2727,03,99,01,01,66,1717,11,02,2121,07,05,1919,11,77,03,2020,99,11,11,77,01,66,01,11,11,55,02,01,11,33,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
