web-scraper-order,web-scraper-start-url,espn2,espn2-href,espn3,espn3-href,BATSMEN,Runs,Balls,Minutes,Fours,Sixes,StrikeRate
"1603230981-5094","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2235","https://stats.espncricinfo.com/ci/engine/match/1034811.html","Mohammed Shami","7","2","6","0","1","350.00"
"1603231121-5867","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2199","https://stats.espncricinfo.com/ci/engine/match/800465.html","","null","null","null","null","null","null"
"1603231158-6020","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2191","https://stats.espncricinfo.com/ci/engine/match/903609.html","R Ashwin","56","140","186","6","1","40.00"
"1603231295-6766","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2157","https://stats.espncricinfo.com/ci/engine/match/766929.html","JC Buttler †","0","22","30","0","0","0.00"
"1603230533-2317","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2360","https://stats.espncricinfo.com/ci/engine/match/1152849.html","","null","null","null","null","null","null"
"1603231083-5632","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2209","https://stats.espncricinfo.com/ci/engine/match/995451.html","LD Chandimal †","15","54","82","2","0","27.77"
"1603230839-4269","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2271","https://stats.espncricinfo.com/ci/engine/match/1031661.html","","null","null","null","null","null","null"
"1603231235-6437","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2172","https://stats.espncricinfo.com/ci/engine/match/817213.html","SR Harmer","9","37","32","0","0","24.32"
"1603230430-1747","https://stats.espncricinfo.com/ci/content/records/307847.html","2020","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2020;type=year","Test # 2386","https://stats.espncricinfo.com/ci/engine/match/1214666.html","","null","null","null","null","null","null"
"1603231282-6680","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2161","https://stats.espncricinfo.com/ci/engine/match/858495.html","Yasir Shah","0","1","4","0","0","0.00"
"1603231319-6873","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2152","https://stats.espncricinfo.com/ci/engine/match/754741.html","RJ Harris","74","88","93","8","1","84.09"
"1603231348-7031","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2144","https://stats.espncricinfo.com/ci/engine/match/742611.html","Ahmed Shehzad","176","371","473","17","1","47.43"
"1603231319-6861","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2152","https://stats.espncricinfo.com/ci/engine/match/754741.html","SR Watson","52","89","153","4","0","58.42"
"1603230721-3629","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2300","https://stats.espncricinfo.com/ci/engine/match/1075984.html","AK Markram","0","11","17","0","0","0.00"
"1603230789-4010","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2283","https://stats.espncricinfo.com/ci/engine/match/1122724.html","S Samarawickrama","13","15","25","1","0","86.66"
"1603231466-7685","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2114","https://stats.espncricinfo.com/ci/engine/match/657649.html","Younis Khan","13","29","44","1","0","44.82"
"1603231011-5279","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2227","https://stats.espncricinfo.com/ci/engine/match/1029827.html","","null","null","null","null","null","null"
"1603231190-6178","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2183","https://stats.espncricinfo.com/ci/engine/match/902637.html","Shan Masood","54","87","120","7","1","62.06"
"1603230616-3011","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2329","https://stats.espncricinfo.com/ci/engine/match/1140387.html","Extras","11","","null","null","null","null"
"1603230661-3314","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2315","https://stats.espncricinfo.com/ci/engine/match/1119550.html","","null","null","null","null","null","null"
"1603230706-3555","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2304","https://stats.espncricinfo.com/ci/engine/match/1119535.html","JM Anderson","0","1","5","0","0","0.00"
"1603230889-4563","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2258","https://stats.espncricinfo.com/ci/engine/match/1062576.html","SPD Smith (c)","111","173","224","14","0","64.16"
"1603231450-7596","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2118","https://stats.espncricinfo.com/ci/engine/match/667651.html","","null","null","null","null","null","null"
"1603230967-4999","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2239","https://stats.espncricinfo.com/ci/engine/match/1034815.html","","null","null","null","null","null","null"
"1603230492-1973","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2376","https://stats.espncricinfo.com/ci/engine/match/1183533.html","","null","null","null","null","null","null"
"1603231395-7289","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2132","https://stats.espncricinfo.com/ci/engine/match/667715.html","IR Bell","167","256","357","19","3","65.23"
"1603231551-8157","https://stats.espncricinfo.com/ci/content/records/307847.html","2013","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2013;type=year","Test # 2094","https://stats.espncricinfo.com/ci/engine/match/566936.html","NM Lyon","0","0","1","0","0","-"
"1603231207-6283","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2179","https://stats.espncricinfo.com/ci/engine/match/895777.html","","null","null","null","null","null","null"
"1603231125-5874","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2198","https://stats.espncricinfo.com/ci/engine/match/892519.html","","null","null","null","null","null","null"
