web-scraper-order,web-scraper-start-url,BATSMEN,Run,Ball,Min,Four,Six,Strike
"1603232595-9265","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9287","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","9","null","0","0","0","null"
"1603232595-9282","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","Z Khan","3","8","-","0","0","37.50"
"1603232595-9270","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","JH Kallis","8","7","-","0","1","114.28"
"1603232595-9281","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9271","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9254","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9264","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","R Dravid (c)","2","3","-","0","0","66.66"
"1603232595-9267","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9248","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9280","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","P Kumar","18","15","-","1","2","120.00"
"1603232595-9269","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9247","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","SC Ganguly (c)","10","12","-","2","0","83.33"
"1603232595-9279","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","","null","null","null","null","null","null"
"1603232595-9259","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","38","null","0","3","2","null"
"1603232595-9288","https://www.espncricinfo.com/series/8048/scorecard/335982/royal-challengers-bangalore-vs-kolkata-knight-riders-1st-match-indian-premier-league-2007-08","null","7","null","0","0","0","null"
