,Australia,England,South Africa,New Zealand,West Indies,India,Pakistan,Sri Lanka,Zimbabwe,Bangladesh,Ireland,Afghanistan,ICC World XI
1877-03-15,1,1,0,0,0,0,0,0,0,0,0,0,0
1877-03-31,2,2,0,0,0,0,0,0,0,0,0,0,0
1879-01-02,3,3,0,0,0,0,0,0,0,0,0,0,0
1880-09-06,4,4,0,0,0,0,0,0,0,0,0,0,0
1882-12-31,6,6,0,0,0,0,0,0,0,0,0,0,0
1882-02-17,7,7,0,0,0,0,0,0,0,0,0,0,0
1882-03-03,8,8,0,0,0,0,0,0,0,0,0,0,0
1882-03-10,9,9,0,0,0,0,0,0,0,0,0,0,0
1882-08-28,10,10,0,0,0,0,0,0,0,0,0,0,0
1883-12-30,12,12,0,0,0,0,0,0,0,0,0,0,0
1883-01-19,13,13,0,0,0,0,0,0,0,0,0,0,0
1883-01-26,14,14,0,0,0,0,0,0,0,0,0,0,0
1883-02-17,15,15,0,0,0,0,0,0,0,0,0,0,0
1884-07-10,16,16,0,0,0,0,0,0,0,0,0,0,0
1884-07-21,17,17,0,0,0,0,0,0,0,0,0,0,0
1884-08-11,18,18,0,0,0,0,0,0,0,0,0,0,0
1884-12-12,19,19,0,0,0,0,0,0,0,0,0,0,0
1885-01-01,20,20,0,0,0,0,0,0,0,0,0,0,0
1885-02-20,21,21,0,0,0,0,0,0,0,0,0,0,0
1885-03-14,22,22,0,0,0,0,0,0,0,0,0,0,0
1885-03-21,23,23,0,0,0,0,0,0,0,0,0,0,0
1886-07-05,24,24,0,0,0,0,0,0,0,0,0,0,0
1886-07-19,25,25,0,0,0,0,0,0,0,0,0,0,0
1886-08-12,26,26,0,0,0,0,0,0,0,0,0,0,0
1887-01-28,27,27,0,0,0,0,0,0,0,0,0,0,0
1887-02-25,28,28,0,0,0,0,0,0,0,0,0,0,0
1888-02-10,29,29,0,0,0,0,0,0,0,0,0,0,0
1888-07-16,30,30,0,0,0,0,0,0,0,0,0,0,0
1888-08-13,31,31,0,0,0,0,0,0,0,0,0,0,0
1888-08-30,32,32,0,0,0,0,0,0,0,0,0,0,0
1889-03-12,32,33,1,0,0,0,0,0,0,0,0,0,0
1889-03-25,32,34,2,0,0,0,0,0,0,0,0,0,0
1890-07-21,33,35,2,0,0,0,0,0,0,0,0,0,0
1890-08-11,34,36,2,0,0,0,0,0,0,0,0,0,0
1892-01-01,35,37,2,0,0,0,0,0,0,0,0,0,0
1892-01-29,36,38,2,0,0,0,0,0,0,0,0,0,0
1892-03-19,36,39,3,0,0,0,0,0,0,0,0,0,0
1892-03-24,37,40,3,0,0,0,0,0,0,0,0,0,0
1893-07-17,38,41,3,0,0,0,0,0,0,0,0,0,0
1893-08-14,39,42,3,0,0,0,0,0,0,0,0,0,0
1893-08-24,40,43,3,0,0,0,0,0,0,0,0,0,0
1894-12-14,41,44,3,0,0,0,0,0,0,0,0,0,0
1895-12-29,43,46,3,0,0,0,0,0,0,0,0,0,0
1895-01-11,44,47,3,0,0,0,0,0,0,0,0,0,0
1895-02-01,45,48,3,0,0,0,0,0,0,0,0,0,0
1895-03-01,46,49,3,0,0,0,0,0,0,0,0,0,0
1896-02-13,46,50,4,0,0,0,0,0,0,0,0,0,0
1896-03-02,46,51,5,0,0,0,0,0,0,0,0,0,0
1896-03-21,46,52,6,0,0,0,0,0,0,0,0,0,0
1896-06-22,47,53,6,0,0,0,0,0,0,0,0,0,0
1896-07-16,48,54,6,0,0,0,0,0,0,0,0,0,0
1896-08-10,49,55,6,0,0,0,0,0,0,0,0,0,0
1897-12-13,50,56,6,0,0,0,0,0,0,0,0,0,0
1898-01-01,51,57,6,0,0,0,0,0,0,0,0,0,0
1898-01-14,52,58,6,0,0,0,0,0,0,0,0,0,0
1898-01-29,53,59,6,0,0,0,0,0,0,0,0,0,0
1898-02-26,54,60,6,0,0,0,0,0,0,0,0,0,0
1899-02-14,54,61,7,0,0,0,0,0,0,0,0,0,0
1899-04-01,54,62,8,0,0,0,0,0,0,0,0,0,0
1899-06-01,55,63,8,0,0,0,0,0,0,0,0,0,0
1899-06-15,56,64,8,0,0,0,0,0,0,0,0,0,0
1899-06-29,57,65,8,0,0,0,0,0,0,0,0,0,0
1899-07-17,58,66,8,0,0,0,0,0,0,0,0,0,0
1899-08-14,59,67,8,0,0,0,0,0,0,0,0,0,0
1901-12-13,60,68,8,0,0,0,0,0,0,0,0,0,0
1902-01-01,61,69,8,0,0,0,0,0,0,0,0,0,0
1902-01-17,62,70,8,0,0,0,0,0,0,0,0,0,0
1902-02-14,63,71,8,0,0,0,0,0,0,0,0,0,0
1902-02-28,64,72,8,0,0,0,0,0,0,0,0,0,0
1902-05-29,65,73,8,0,0,0,0,0,0,0,0,0,0
1902-06-12,66,74,8,0,0,0,0,0,0,0,0,0,0
1902-07-03,67,75,8,0,0,0,0,0,0,0,0,0,0
1902-07-24,68,76,8,0,0,0,0,0,0,0,0,0,0
1902-08-11,69,77,8,0,0,0,0,0,0,0,0,0,0
1902-10-11,70,77,9,0,0,0,0,0,0,0,0,0,0
1902-10-18,71,77,10,0,0,0,0,0,0,0,0,0,0
1902-11-08,72,77,11,0,0,0,0,0,0,0,0,0,0
1903-12-11,73,78,11,0,0,0,0,0,0,0,0,0,0
1904-01-01,74,79,11,0,0,0,0,0,0,0,0,0,0
1904-01-15,75,80,11,0,0,0,0,0,0,0,0,0,0
1904-02-26,76,81,11,0,0,0,0,0,0,0,0,0,0
