,Australia,England,South Africa,New Zealand,West Indies,India,Pakistan,Sri Lanka,Zimbabwe,Bangladesh,Ireland,Afghanistan,ICC World XI
1877-03-15,1,0,0,0,0,0,0,0,0,0,0,0,0
1877-03-31,1,1,0,0,0,0,0,0,0,0,0,0,0
1879-01-02,2,1,0,0,0,0,0,0,0,0,0,0,0
1880-09-06,2,2,0,0,0,0,0,0,0,0,0,0,0
1882-12-31,2,2,0,0,0,0,0,0,0,0,0,0,0
1882-02-17,3,2,0,0,0,0,0,0,0,0,0,0,0
1882-03-03,4,2,0,0,0,0,0,0,0,0,0,0,0
1882-03-10,4,2,0,0,0,0,0,0,0,0,0,0,0
1882-08-28,5,2,0,0,0,0,0,0,0,0,0,0,0
1883-12-30,7,2,0,0,0,0,0,0,0,0,0,0,0
1883-01-19,7,3,0,0,0,0,0,0,0,0,0,0,0
1883-01-26,7,4,0,0,0,0,0,0,0,0,0,0,0
1883-02-17,8,4,0,0,0,0,0,0,0,0,0,0,0
1884-07-10,8,4,0,0,0,0,0,0,0,0,0,0,0
1884-07-21,8,5,0,0,0,0,0,0,0,0,0,0,0
1884-08-11,8,5,0,0,0,0,0,0,0,0,0,0,0
1884-12-12,8,6,0,0,0,0,0,0,0,0,0,0,0
1885-01-01,8,7,0,0,0,0,0,0,0,0,0,0,0
1885-02-20,9,7,0,0,0,0,0,0,0,0,0,0,0
1885-03-14,10,7,0,0,0,0,0,0,0,0,0,0,0
1885-03-21,10,8,0,0,0,0,0,0,0,0,0,0,0
1886-07-05,10,9,0,0,0,0,0,0,0,0,0,0,0
1886-07-19,10,10,0,0,0,0,0,0,0,0,0,0,0
1886-08-12,10,11,0,0,0,0,0,0,0,0,0,0,0
1887-01-28,10,12,0,0,0,0,0,0,0,0,0,0,0
1887-02-25,10,13,0,0,0,0,0,0,0,0,0,0,0
1888-02-10,10,14,0,0,0,0,0,0,0,0,0,0,0
1888-07-16,11,14,0,0,0,0,0,0,0,0,0,0,0
